Fuvar{taxi_id=7766, idotartam=360, indulas=2016-12-02 13:45:00, fizetes_modja=készpénz, tavolsag=4.0, viteldij=13.0, borravalo=0.0}
Fuvar{taxi_id=3895, idotartam=4080, indulas=2016-12-04 15:30:00, fizetes_modja=készpénz, tavolsag=13.0, viteldij=41.0, borravalo=0.0}
Fuvar{taxi_id=6025, idotartam=180, indulas=2016-12-02 18:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=4.5, borravalo=0.0}
Fuvar{taxi_id=7810, idotartam=60, indulas=2016-12-17 13:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=0.01, borravalo=0.0}
Fuvar{taxi_id=1447, idotartam=1440, indulas=2016-12-19 18:00:00, fizetes_modja=készpénz, tavolsag=7.0, viteldij=22.25, borravalo=0.0}
Fuvar{taxi_id=4770, idotartam=600, indulas=2016-12-13 17:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=11.25, borravalo=0.0}
Fuvar{taxi_id=5475, idotartam=300, indulas=2016-12-20 18:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.5, borravalo=0.0}
Fuvar{taxi_id=866, idotartam=360, indulas=2016-12-09 23:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.75, borravalo=0.0}
Fuvar{taxi_id=6798, idotartam=360, indulas=2016-12-23 14:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.25, borravalo=0.0}
Fuvar{taxi_id=3173, idotartam=300, indulas=2016-12-06 23:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=3588, idotartam=0, indulas=2016-12-02 20:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.25, borravalo=0.0}
Fuvar{taxi_id=8656, idotartam=600, indulas=2016-12-15 14:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=8.0, borravalo=0.0}
Fuvar{taxi_id=1362, idotartam=540, indulas=2016-12-28 15:45:00, fizetes_modja=készpénz, tavolsag=3.0, viteldij=12.5, borravalo=0.0}
Fuvar{taxi_id=723, idotartam=2280, indulas=2016-12-10 18:15:00, fizetes_modja=készpénz, tavolsag=5.0, viteldij=19.5, borravalo=0.0}
Fuvar{taxi_id=5058, idotartam=180, indulas=2016-12-03 20:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.25, borravalo=0.0}
Fuvar{taxi_id=6523, idotartam=420, indulas=2016-12-03 22:45:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=8.0, borravalo=0.0}
Fuvar{taxi_id=5263, idotartam=0, indulas=2016-12-29 11:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.25, borravalo=0.0}
Fuvar{taxi_id=1886, idotartam=960, indulas=2016-12-20 11:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=10.25, borravalo=0.0}
Fuvar{taxi_id=8718, idotartam=420, indulas=2016-12-07 15:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.25, borravalo=0.0}
Fuvar{taxi_id=3062, idotartam=120, indulas=2016-12-08 09:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=4.25, borravalo=0.0}
Fuvar{taxi_id=1412, idotartam=420, indulas=2016-12-21 15:15:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=8.75, borravalo=0.0}
Fuvar{taxi_id=7006, idotartam=1440, indulas=2016-12-03 18:15:00, fizetes_modja=készpénz, tavolsag=3.0, viteldij=14.75, borravalo=0.0}
Fuvar{taxi_id=1168, idotartam=420, indulas=2016-12-27 12:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.25, borravalo=0.0}
Fuvar{taxi_id=3209, idotartam=420, indulas=2016-12-09 16:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.5, borravalo=0.0}
